url,date,caption,likes,length_type,language,topic,has_location,location_city,location_country,location_region_type,emoji_count
https://www.instagram.com/p/DO9G-pKjMSR/,2025-09-23,,88,micro,ru,daily_life,True,New York City,Unknown,travel_world,0
https://www.instagram.com/p/DTs9BobDJkE/,2026-01-19,"Details

Badalona
September, 2025",115,short,en,daily_life,False,,,,0
https://www.instagram.com/p/DTbQGiYDo85/,2026-01-12,On a bluebird day,74,micro,en,daily_life,True,Andorra,Unknown,travel_europe,0
https://www.instagram.com/p/DXT-VaQjDMO/,2026-04-19,"Slow, soft and sweet — repeat",77,micro,en,daily_life,True,Région Occitanie,Unknown,travel_europe,0
https://www.instagram.com/p/DQR3O6SDKJ_/,2025-10-26,"Hold on tight, spider monkey",108,micro,en,daily_life,False,,,,0
https://www.instagram.com/p/DPAFvRiiHwM/,2025-09-24,The most French thing to do in Paris 🌸,125,short,en,daily_life,True,Paris,France,travel_europe,1
https://www.instagram.com/p/DXm4f1Ojrw1/,2026-04-26,Small reminder to myself that I live in Spain now,104,short,en,daily_life,False,,,,0
https://www.instagram.com/p/DPZ1r8JCPFd/,2025-10-04,"If I seem lost in my thoughts, just know that mentally I’m there",96,short,en,daily_life,True,France,Unknown,travel_europe,0
https://www.instagram.com/p/DT3PI92jB16/,2026-01-23,"Intimacy

Badalona
September, 2025",99,short,en,daily_life,False,,,,0
https://www.instagram.com/p/DTp0dHrjDUG/,2026-01-18,"Пока новый год потихоньку набирает свои обороты, вспоминаю самый «барселонский» момент прошлого — рассветная прогулка по безлюдному пляжу однажды в пятницу перед работой
Потягивалась, просыпалась, купалась голышом и немного стеснялась, а совершенно волшебная камера Оли запечетляла мои прекрасные четверть века так, что у меня теперь каждый раз при взгляде захватывает дыхание",210,long,ru,travel,False,,,,0
https://www.instagram.com/p/DS-5WsnDjs6/,2026-01-01,"В этом году я не переехала, не выучила новый язык, не пробежала марафон, не посетила десяток новых стран, не не не
После 2 лет по сути digital номадства и 1.5 лет после переезда в Барселону, радуюсь другим повторяющимся цифрам: 4 дня в неделю хожу в офис (добровольно!) и на очные занятия по испанскому, по понедельникам - обязательный пилатес и булочка из Origo, по вторникам – терапия, в пятницу вечером – вермут и друзья. На выходных – любимое доехать на велике в центр за кофе
В этом году дважды была в Париже, спасибо дорогому Костичке, 5 раз (!) виделись с Витюшей, хотя живем в разных краях Европы
Первый раз случились штаты, но и то благодаря новой реальности Гошиных командировок
Дома – расставляю книги на очередной книжной полке и пересаживаю новое растение, снова застилаю кровати в гостевой комнате и леплю на стену постер из последней поездки
В новой реальности спасибо всем друзьям в окошках зума, всем гостям, что хвалят за гостеприимство и уют, еще больше - тем, кто создает этот уют для нас и в очередной раз надувает матрас в гостиной; и конечно, всем барселонским, с кем можно каждый день видеться, обниматься, делиться и жить вместе жизнь
🧡",134,long,ru,travel,False,,,,1
https://www.instagram.com/p/DSz9JeGjMqC/,2025-12-28,Gonna miss being Dutch,88,micro,en,daily_life,True,Netherlands,Unknown,travel_europe,0
https://www.instagram.com/p/DOjLhl3DIuG/,2025-09-13,"Cliché, but still my absolute fave place in NY",86,short,en,daily_life,True,Central Park,New York City,travel_world,0
https://www.instagram.com/p/DJUvzY1MUkX/,2025-05-06,I love them,69,micro,en,daily_life,True,Berlin,Germany,travel_europe,0
https://www.instagram.com/p/DEuQJxBsFwD/,2025-01-12,Your mom in Barcelona in her twenties,107,short,en,travel,True,Barcelona,Spain,home,0
https://www.instagram.com/p/DN5ntIMkUMM/,2025-08-28,Sounds like jaaaaazz,88,micro,en,daily_life,True,Chicago,Illinois,travel_world,0
https://www.instagram.com/p/DIHadFtss4o/,2025-04-06,La primavera,99,micro,en,daily_life,True,Jardín Botánico Marimurtra,Unknown,home,0
https://www.instagram.com/p/DGwK1trsXOw/,2025-03-03,El fin de semana en Cataluña,81,micro,en,daily_life,True,Cataluña - España,Unknown,home,0
https://www.instagram.com/p/DJGn6R2M3F3/,2025-05-01,I wish I was there in the roaring twenties,106,short,en,daily_life,True,Paris,France,travel_europe,0
https://www.instagram.com/p/DJyu3yxsdHL/,2025-05-18,"Несколько лет кружочков в телеграмме, реедких встреч в Москве и обещания «когда-нибудь обязательно устроить girls-only trip».
И вдруг мы и самом деле в поезде, едем через майские цветущие поля Испании во Францию. Пьём капучино из тонкого фарфора в цветочек. Просыпаемся с сумашедшим видом на Лион, залитым солнцем. Пробуем самый вкусный в жизни крем-брюле. Соблазняемся на спонтанные покупки в магазине белья.
Выбираем картину у уличного художника, а он заворачивает её в коробку из-под пиццы.
Варя говорит: «Это так по-французски». А Надя всё сравнивает с Парижем и соглашается не всегда.",166,long,ru,travel,True,Lyon,France,travel_europe,0
https://www.instagram.com/p/DJvv8ZQsjdu/,2025-05-17,Vamos a la playa,86,micro,en,daily_life,True,Sitges,España,home,0
https://www.instagram.com/p/DFatAa5Mr-E/,2025-01-29,"Качу, качу куда хочу",40,micro,ru,daily_life,True,Leucate Village,Unknown,travel_europe,0
https://www.instagram.com/p/C6eFp0IMcwt/,2024-05-02,Spring is finally here 🌷🌱,64,micro,en,daily_life,True,Berlin,Germany,travel_europe,2
https://www.instagram.com/p/DOGg9xMkYz7/,2025-09-02,"Hey, Upper East Siders",105,micro,en,daily_life,True,Grand Central Terminal,Unknown,travel_world,0
https://www.instagram.com/p/C79py1oMRBq/,2024-06-08,The purest happiness,96,micro,en,daily_life,True,Sitges,España,home,0
https://www.instagram.com/p/C6zEr0lM1Kl/,2024-05-10,"Все поняли, что я люблю Берлин?",42,short,ru,people,True,Berlin,Germany,travel_europe,0
https://www.instagram.com/p/DEDmzCpMCm2/,2024-12-26,Such a calm Christmas in Budapest,106,short,en,daily_life,True,Budapest,Hungary,travel_europe,0
https://www.instagram.com/p/DAlD151MHv_/,2024-10-01,"The best way to start a day ☕️

Today we celebrate International Сoffee Day, the drink that makes us believe we can hit every milestone, juggle ten tasks at once and somehow find time for that team-building activity. 🤹‍♂️

Let’s raise a mug to bean juice and our teammates who’ve shared their coffee preferences in this video.

So, what’s your fav? Share in the comments.

#internationalcoffeeday #coffeelovers #manychatlife",86,long,en,daily_life,False,,,,2
https://www.instagram.com/p/DB3A3wEsup1/,2024-11-02,mattina a Roma,98,micro,en,daily_life,False,,,,0
https://www.instagram.com/p/DDaG1RNsHja/,2024-12-10,And now I wanna become Dutch,113,micro,en,daily_life,True,Amsterdam,Unknown,travel_europe,0
https://www.instagram.com/p/C_87aATsSAE/,2024-09-15,She loved to read and do back exercises,85,short,en,daily_life,False,,,,0
https://www.instagram.com/p/C_0Tgd8sBgw/,2024-09-12,"Web development teammates when they finally turn their computers off
In a natural habitat 🤫",104,short,en,daily_life,False,,,,1
https://www.instagram.com/p/C1nSLBJMH-G/,2024-01-02,"Нежусь все январские с пушистыми, вспоминаю стамбульских друзей",60,short,ru,daily_life,True,Istanbul,Turkey,travel_world,0
https://www.instagram.com/p/C2rmMnRMNhC/,2024-01-29,Just another happy moment of this winter,34,short,en,daily_life,True,Bakuriani,Unknown,travel_world,0
https://www.instagram.com/p/C2wkp_ls2H7/,2024-01-31,there’s been a month me missing home,69,short,en,daily_life,True,Moscow,Russia,russia_past,0
https://www.instagram.com/p/DCrmX3zsBzA/,2024-11-22,Dumb selfies from Barcelona recently,107,short,en,travel,False,,,,0
https://www.instagram.com/p/C-0cMPzM1pB/,2024-08-18,На память о целой неделе с подружкой в одном городе,103,short,ru,travel,True,Москва • Moscow,Unknown,russia_past,0
https://www.instagram.com/p/DN6P8yhEx69/,2025-08-28,"Вот скажи мне, американец",133,micro,ru,daily_life,True,Chicago,Illinois,travel_world,0
